position,predictions,duration_m,pred/actual,diff,"diff, %",diff^2,stand.deviation,z score,,MSE=,35.9118664174
6923,5.15,2.89,178%,2.26,78%,5.12,2.26,-0.76,,,
354,5.62,3.15,178%,2.47,78%,6.09,2.47,-0.72,,,
10366,16.46,9.23,178%,7.22,78%,52.20,7.22,0.29,,,
692,3.09,1.74,177%,1.35,77%,1.81,1.35,-0.96,,,
1945,5.54,3.12,177%,2.41,77%,5.83,2.41,-0.73,,,
7797,3.20,1.81,177%,1.40,77%,1.95,1.40,-0.95,,,
894,15.75,8.90,177%,6.84,77%,46.82,6.84,0.24,,,
649,4.24,2.40,177%,1.84,77%,3.38,1.84,-0.85,,,
4755,2.03,1.15,176%,0.88,76%,0.77,0.88,-1.05,,,
643,2.84,1.61,176%,1.23,76%,1.51,1.23,-0.98,,,
3091,14.06,7.98,176%,6.08,76%,36.91,6.08,0.09,,,
794,16.72,9.50,176%,7.22,76%,52.16,7.22,0.34,,,
6773,8.52,4.86,175%,3.66,75%,13.39,3.66,-0.44,,,
5562,2.99,1.71,175%,1.28,75%,1.65,1.28,-0.96,,,
7194,7.93,4.53,175%,3.40,75%,11.55,3.40,-0.49,,,
5303,2.76,1.58,175%,1.18,75%,1.39,1.18,-0.98,,,
4328,5.34,3.06,175%,2.28,75%,5.21,2.28,-0.74,,,
1942,4.13,2.37,175%,1.76,75%,3.11,1.76,-0.85,,,
7383,23.55,13.50,174%,10.05,74%,100.95,10.05,1.01,,,
5485,5.16,2.96,174%,2.20,74%,4.84,2.20,-0.75,,,
5522,3.04,1.74,174%,1.29,74%,1.68,1.29,-0.96,,,
9053,5.04,2.89,174%,2.15,74%,4.61,2.15,-0.76,,,
2271,6.06,3.48,174%,2.58,74%,6.65,2.58,-0.67,,,
159,3.43,1.97,174%,1.45,74%,2.12,1.45,-0.92,,,
12434,8.78,5.06,173%,3.72,73%,13.82,3.72,-0.40,,,
9203,3.99,2.30,173%,1.69,73%,2.85,1.69,-0.86,,,
7814,4.84,2.79,173%,2.05,73%,4.20,2.05,-0.78,,,
13061,5.86,3.38,173%,2.48,73%,6.15,2.48,-0.68,,,
8586,5.58,3.22,173%,2.36,73%,5.56,2.36,-0.71,,,
3497,4.89,2.83,173%,2.07,73%,4.27,2.07,-0.78,,,
12863,4.83,2.79,173%,2.04,73%,4.15,2.04,-0.78,,,
4957,3.46,2.00,173%,1.46,73%,2.13,1.46,-0.91,,,
12939,5.28,3.06,173%,2.22,73%,4.93,2.22,-0.74,,,
7403,4.88,2.83,173%,2.05,73%,4.21,2.05,-0.78,,,
11921,4.59,2.66,173%,1.93,73%,3.73,1.93,-0.80,,,
1170,3.17,1.84,172%,1.33,72%,1.77,1.33,-0.94,,,
135,9.11,5.29,172%,3.82,72%,14.61,3.82,-0.36,,,
12763,15.09,8.77,172%,6.32,72%,39.92,6.32,0.22,,,
13069,12.20,7.10,172%,5.10,72%,26.01,5.10,-0.06,,,
10807,6.09,3.55,172%,2.54,72%,6.45,2.54,-0.65,,,
11425,8.96,5.22,171%,3.73,71%,13.94,3.73,-0.37,,,
2034,2.58,1.51,171%,1.07,71%,1.15,1.07,-0.99,,,
5321,3.37,1.97,171%,1.40,71%,1.95,1.40,-0.92,,,
1721,4.66,2.73,171%,1.93,71%,3.72,1.93,-0.79,,,
7496,11.16,6.54,171%,4.62,71%,21.39,4.62,-0.16,,,
12161,4.82,2.83,171%,2.00,71%,3.99,2.00,-0.78,,,
4026,6.22,3.65,171%,2.58,71%,6.64,2.58,-0.64,,,
9018,4.76,2.79,171%,1.97,71%,3.88,1.97,-0.78,,,
3976,26.56,15.61,170%,10.95,70%,120.00,10.95,1.36,,,
7750,6.99,4.11,170%,2.88,70%,8.31,2.88,-0.56,,,
6070,5.70,3.35,170%,2.35,70%,5.53,2.35,-0.69,,,
2407,4.02,2.37,170%,1.65,70%,2.73,1.65,-0.85,,,
4162,5.85,3.45,170%,2.40,70%,5.77,2.40,-0.67,,,
9330,11.75,6.93,169%,4.81,69%,23.18,4.81,-0.09,,,
3513,4.84,2.86,169%,1.98,69%,3.93,1.98,-0.77,,,
3936,3.17,1.87,169%,1.29,69%,1.67,1.29,-0.93,,,
2369,1.66,0.99,169%,0.68,69%,0.46,0.68,-1.08,,,
11758,26.26,15.61,168%,10.66,68%,113.59,10.66,1.36,,,
6312,3.31,1.97,168%,1.34,68%,1.80,1.34,-0.92,,,
9218,5.30,3.15,168%,2.14,68%,4.59,2.14,-0.72,,,
2682,7.73,4.60,168%,3.13,68%,9.77,3.13,-0.48,,,
10571,6.50,3.88,168%,2.63,68%,6.91,2.63,-0.60,,,
835,1.71,1.02,168%,0.69,68%,0.48,0.69,-1.08,,,
6696,6.60,3.94,168%,2.66,68%,7.09,2.66,-0.59,,,
9583,2.81,1.68,167%,1.13,67%,1.28,1.13,-0.97,,,
8563,3.69,2.20,167%,1.48,67%,2.20,1.48,-0.88,,,
9842,6.66,3.98,167%,2.68,67%,7.19,2.68,-0.58,,,
10260,22.37,13.37,167%,9.00,67%,81.04,9.00,0.98,,,
10198,7.36,4.40,167%,2.96,67%,8.73,2.96,-0.51,,,
1618,4.33,2.60,167%,1.74,67%,3.02,1.74,-0.81,,,
99,6.80,4.07,167%,2.72,67%,7.40,2.72,-0.57,,,
5628,2.13,1.28,167%,0.85,67%,0.73,0.85,-1.03,,,
5699,8.90,5.36,166%,3.55,66%,12.59,3.55,-0.35,,,
11961,4.09,2.46,166%,1.63,66%,2.64,1.63,-0.84,,,
510,5.45,3.29,166%,2.16,66%,4.68,2.16,-0.70,,,
7701,4.62,2.79,166%,1.83,66%,3.35,1.83,-0.78,,,
6109,1.96,1.18,165%,0.77,65%,0.60,0.77,-1.05,,,
8257,3.15,1.91,165%,1.24,65%,1.55,1.24,-0.93,,,
6835,5.26,3.19,165%,2.08,65%,4.32,2.08,-0.71,,,
4085,3.69,2.23,165%,1.46,65%,2.12,1.46,-0.87,,,
12787,15.51,9.40,165%,6.11,65%,37.34,6.11,0.32,,,
5494,3.52,2.14,165%,1.39,65%,1.92,1.39,-0.89,,,
3023,17.07,10.35,165%,6.72,65%,45.19,6.72,0.48,,,
2016,4.81,2.92,165%,1.89,65%,3.57,1.89,-0.76,,,
3075,7.61,4.63,164%,2.98,64%,8.89,2.98,-0.47,,,
4325,7.02,4.27,164%,2.74,64%,7.53,2.74,-0.53,,,
2678,3.89,2.37,164%,1.52,64%,2.31,1.52,-0.85,,,
8533,8.30,5.06,164%,3.24,64%,10.51,3.24,-0.40,,,
5384,11.80,7.20,164%,4.61,64%,21.22,4.61,-0.05,,,
2250,3.23,1.97,164%,1.26,64%,1.59,1.26,-0.92,,,
9726,1.83,1.12,164%,0.71,64%,0.51,0.71,-1.06,,,
1432,6.02,3.68,164%,2.34,64%,5.49,2.34,-0.63,,,
10739,15.76,9.66,163%,6.11,63%,37.28,6.11,0.37,,,
1938,2.20,1.35,163%,0.85,63%,0.72,0.85,-1.02,,,
7445,5.19,3.19,163%,2.01,63%,4.03,2.01,-0.71,,,
12629,8.02,4.93,163%,3.09,63%,9.56,3.09,-0.42,,,
35,3.31,2.04,163%,1.28,63%,1.63,1.28,-0.91,,,
2033,5.93,3.65,163%,2.29,63%,5.22,2.29,-0.64,,,
7952,3.25,2.00,162%,1.25,62%,1.56,1.25,-0.91,,,
8324,6.34,3.91,162%,2.43,62%,5.92,2.43,-0.59,,,
8534,7.61,4.70,162%,2.91,62%,8.50,2.91,-0.46,,,
2076,3.99,2.46,162%,1.52,62%,2.33,1.52,-0.84,,,
11749,2.71,1.68,162%,1.04,62%,1.07,1.04,-0.97,,,
6848,2.60,1.61,162%,0.99,62%,0.98,0.99,-0.98,,,
12956,6.62,4.11,161%,2.51,61%,6.32,2.51,-0.56,,,
9721,4.76,2.96,161%,1.81,61%,3.26,1.81,-0.75,,,
9674,5.70,3.55,161%,2.16,61%,4.65,2.16,-0.65,,,
13098,2.85,1.77,161%,1.08,61%,1.16,1.08,-0.95,,,
9731,6.02,3.75,161%,2.27,61%,5.16,2.27,-0.62,,,
4892,3.21,2.00,160%,1.21,60%,1.46,1.21,-0.91,,,
10535,7.06,4.40,160%,2.66,60%,7.06,2.66,-0.51,,,
5503,2.58,1.61,160%,0.97,60%,0.94,0.97,-0.98,,,
2262,3.84,2.40,160%,1.44,60%,2.09,1.44,-0.85,,,
3472,4.58,2.86,160%,1.72,60%,2.96,1.72,-0.77,,,
11236,4.79,2.99,160%,1.80,60%,3.23,1.80,-0.75,,,
1834,5.05,3.15,160%,1.90,60%,3.59,1.90,-0.72,,,
11722,6.62,4.14,160%,2.48,60%,6.15,2.48,-0.56,,,
3805,6.20,3.88,160%,2.32,60%,5.39,2.32,-0.60,,,
1057,5.98,3.75,160%,2.24,60%,5.01,2.24,-0.62,,,
6230,3.72,2.33,160%,1.39,60%,1.94,1.39,-0.86,,,
8602,7.24,4.53,160%,2.70,60%,7.30,2.70,-0.49,,,
10162,3.93,2.46,160%,1.47,60%,2.15,1.47,-0.84,,,
823,5.34,3.35,159%,1.99,59%,3.97,1.99,-0.69,,,
10681,7.23,4.53,159%,2.69,59%,7.26,2.69,-0.49,,,
3415,5.81,3.65,159%,2.17,59%,4.69,2.17,-0.64,,,
1992,22.66,14.23,159%,8.44,59%,71.20,8.44,1.13,,,
10365,4.13,2.60,159%,1.54,59%,2.37,1.54,-0.81,,,
7996,9.10,5.72,159%,3.38,59%,11.42,3.38,-0.29,,,
2109,16.70,10.51,159%,6.18,59%,38.21,6.18,0.51,,,
12871,5.52,3.48,159%,2.04,59%,4.17,2.04,-0.67,,,
2138,6.05,3.81,159%,2.23,59%,4.99,2.23,-0.61,,,
696,6.61,4.17,158%,2.44,58%,5.96,2.44,-0.55,,,
2683,3.02,1.91,158%,1.11,58%,1.24,1.11,-0.93,,,
9187,5.00,3.15,158%,1.84,58%,3.39,1.84,-0.72,,,
11494,12.62,7.98,158%,4.64,58%,21.49,4.64,0.09,,,
9470,3.27,2.07,158%,1.20,58%,1.44,1.20,-0.90,,,
2674,10.11,6.41,158%,3.70,58%,13.69,3.70,-0.18,,,
2429,5.85,3.71,158%,2.14,58%,4.58,2.14,-0.63,,,
764,5.08,3.22,158%,1.86,58%,3.45,1.86,-0.71,,,
5636,6.04,3.84,157%,2.20,57%,4.83,2.20,-0.61,,,
10597,2.17,1.38,157%,0.79,57%,0.62,0.79,-1.02,,,
1263,3.87,2.46,157%,1.41,57%,1.98,1.41,-0.84,,,
9742,8.97,5.72,157%,3.26,57%,10.61,3.26,-0.29,,,
2599,3.92,2.50,157%,1.42,57%,2.02,1.42,-0.83,,,
11941,4.74,3.02,157%,1.71,57%,2.94,1.71,-0.74,,,
4241,8.54,5.45,157%,3.09,57%,9.52,3.09,-0.34,,,
3661,2.73,1.74,157%,0.98,57%,0.97,0.98,-0.96,,,
9820,4.63,2.96,156%,1.67,56%,2.79,1.67,-0.75,,,
342,4.11,2.63,156%,1.48,56%,2.19,1.48,-0.81,,,
7067,4.88,3.12,156%,1.75,56%,3.08,1.75,-0.73,,,
9730,7.64,4.90,156%,2.75,56%,7.55,2.75,-0.43,,,
664,10.60,6.80,156%,3.80,56%,14.44,3.80,-0.11,,,
11618,26.31,16.89,156%,9.43,56%,88.86,9.43,1.57,,,
3259,18.51,11.89,156%,6.62,56%,43.84,6.62,0.74,,,
7794,5.52,3.55,156%,1.97,56%,3.88,1.97,-0.65,,,
8030,12.96,8.35,155%,4.62,55%,21.32,4.62,0.15,,,
3996,5.56,3.58,155%,1.98,55%,3.92,1.98,-0.65,,,
10268,5.00,3.22,155%,1.78,55%,3.17,1.78,-0.71,,,
203,4.13,2.66,155%,1.47,55%,2.16,1.47,-0.80,,,
8268,4.64,2.99,155%,1.65,55%,2.71,1.65,-0.75,,,
5735,3.62,2.33,155%,1.28,55%,1.65,1.28,-0.86,,,
9948,18.49,11.93,155%,6.56,55%,43.07,6.56,0.74,,,
2011,6.76,4.37,155%,2.39,55%,5.72,2.39,-0.52,,,
629,14.32,9.27,155%,5.06,55%,25.58,5.06,0.30,,,
8529,4.67,3.02,155%,1.65,55%,2.72,1.65,-0.74,,,
7945,9.29,6.01,155%,3.28,55%,10.76,3.28,-0.24,,,
3419,16.84,10.91,154%,5.93,54%,35.16,5.93,0.57,,,
4502,7.09,4.60,154%,2.49,54%,6.22,2.49,-0.48,,,
3352,5.42,3.52,154%,1.91,54%,3.63,1.91,-0.66,,,
4154,12.61,8.18,154%,4.43,54%,19.62,4.43,0.12,,,
1033,4.25,2.76,154%,1.49,54%,2.22,1.49,-0.79,,,
9845,27.56,17.91,154%,9.65,54%,93.22,9.65,1.74,,,
9016,5.41,3.52,154%,1.90,54%,3.59,1.90,-0.66,,,
2589,6.67,4.34,154%,2.33,54%,5.43,2.33,-0.52,,,
11954,4.49,2.92,154%,1.57,54%,2.47,1.57,-0.76,,,
7983,2.47,1.61,154%,0.86,54%,0.75,0.86,-0.98,,,
12394,5.05,3.29,154%,1.76,54%,3.10,1.76,-0.70,,,
5307,3.48,2.27,154%,1.21,54%,1.47,1.21,-0.87,,,
5229,8.93,5.82,154%,3.11,54%,9.68,3.11,-0.28,,,
4234,10.43,6.80,153%,3.63,53%,13.16,3.63,-0.11,,,
12539,2.87,1.87,153%,1.00,53%,0.99,1.00,-0.93,,,
7749,1.81,1.18,153%,0.63,53%,0.40,0.63,-1.05,,,
6238,14.03,9.17,153%,4.87,53%,23.69,4.87,0.28,,,
9550,4.27,2.79,153%,1.48,53%,2.20,1.48,-0.78,,,
9876,5.88,3.84,153%,2.04,53%,4.14,2.04,-0.61,,,
9464,9.28,6.08,153%,3.20,53%,10.27,3.20,-0.23,,,
7098,5.17,3.38,153%,1.78,53%,3.18,1.78,-0.68,,,
9744,3.06,2.00,153%,1.05,53%,1.11,1.05,-0.91,,,
4004,5.21,3.42,152%,1.79,52%,3.21,1.79,-0.68,,,
3537,2.50,1.64,152%,0.86,52%,0.74,0.86,-0.97,,,
2944,11.11,7.29,152%,3.82,52%,14.56,3.82,-0.03,,,
1709,5.50,3.61,152%,1.89,52%,3.56,1.89,-0.64,,,
12315,4.54,2.99,152%,1.55,52%,2.41,1.55,-0.75,,,
1076,19.51,12.85,152%,6.66,52%,44.39,6.66,0.90,,,
7178,5.29,3.48,152%,1.80,52%,3.25,1.80,-0.67,,,
9199,3.54,2.33,152%,1.21,52%,1.46,1.21,-0.86,,,
82,12.36,8.15,152%,4.21,52%,17.71,4.21,0.11,,,
4279,2.38,1.58,151%,0.81,51%,0.65,0.81,-0.98,,,
8419,4.87,3.22,151%,1.65,51%,2.71,1.65,-0.71,,,
4426,12.91,8.54,151%,4.36,51%,19.05,4.36,0.18,,,
7478,18.51,12.25,151%,6.26,51%,39.18,6.26,0.80,,,
6223,3.03,2.00,151%,1.02,51%,1.04,1.02,-0.91,,,
8390,4.41,2.92,151%,1.49,51%,2.22,1.49,-0.76,,,
826,4.46,2.96,151%,1.50,51%,2.26,1.50,-0.75,,,
2821,6.14,4.07,151%,2.07,51%,4.28,2.07,-0.57,,,
6498,5.90,3.91,151%,1.99,51%,3.94,1.99,-0.59,,,
12190,20.99,13.93,151%,7.05,51%,49.77,7.05,1.08,,,
6158,2.77,1.84,151%,0.93,51%,0.86,0.93,-0.94,,,
5393,5.58,3.71,150%,1.87,50%,3.50,1.87,-0.63,,,
4448,6.08,4.04,150%,2.04,50%,4.15,2.04,-0.57,,,
8785,49.66,33.05,150%,16.60,50%,275.67,16.60,4.27,,,
4368,13.08,8.71,150%,4.37,50%,19.10,4.37,0.21,,,
4371,3.06,2.04,150%,1.02,50%,1.05,1.02,-0.91,,,
9792,12.83,8.54,150%,4.29,50%,18.36,4.29,0.18,,,
8377,3.01,2.00,150%,1.00,50%,1.01,1.00,-0.91,,,
11810,2.81,1.87,150%,0.94,50%,0.88,0.94,-0.93,,,
91,1.97,1.31,150%,0.65,50%,0.43,0.65,-1.03,,,
10690,5.22,3.48,150%,1.73,50%,3.01,1.73,-0.67,,,
4863,46.19,30.85,150%,15.34,50%,235.34,15.34,3.90,,,
8977,3.64,2.43,150%,1.21,50%,1.46,1.21,-0.84,,,
10239,21.37,14.29,150%,7.08,50%,50.13,7.08,1.14,,,
6577,2.70,1.81,149%,0.89,49%,0.80,0.89,-0.95,,,
10246,11.87,7.95,149%,3.92,49%,15.36,3.92,0.08,,,
9475,2.94,1.97,149%,0.97,49%,0.94,0.97,-0.92,,,
5237,10.19,6.83,149%,3.35,49%,11.24,3.35,-0.11,,,
8131,4.65,3.12,149%,1.53,49%,2.34,1.53,-0.73,,,
7807,6.01,4.04,149%,1.97,49%,3.88,1.97,-0.57,,,
9653,2.74,1.84,149%,0.90,49%,0.80,0.90,-0.94,,,
7791,2.83,1.91,149%,0.93,49%,0.86,0.93,-0.93,,,
9325,15.46,10.41,148%,5.04,48%,25.44,5.04,0.49,,,
2139,3.07,2.07,148%,1.00,48%,1.00,1.00,-0.90,,,
8350,3.85,2.60,148%,1.25,48%,1.57,1.25,-0.81,,,
11186,4.91,3.32,148%,1.59,48%,2.54,1.59,-0.69,,,
357,6.80,4.60,148%,2.20,48%,4.85,2.20,-0.48,,,
11054,2.91,1.97,148%,0.94,48%,0.88,0.94,-0.92,,,
11739,11.63,7.89,147%,3.75,47%,14.03,3.75,0.07,,,
4073,2.96,2.00,147%,0.95,47%,0.91,0.95,-0.91,,,
3842,4.06,2.76,147%,1.30,47%,1.70,1.30,-0.79,,,
10760,3.14,2.14,147%,1.00,47%,1.01,1.00,-0.89,,,
6157,5.27,3.58,147%,1.68,47%,2.84,1.68,-0.65,,,
442,6.80,4.63,147%,2.17,47%,4.70,2.17,-0.47,,,
10944,10.03,6.83,147%,3.19,47%,10.20,3.19,-0.11,,,
7147,6.01,4.11,146%,1.91,46%,3.64,1.91,-0.56,,,
9161,3.61,2.46,146%,1.14,46%,1.31,1.14,-0.84,,,
1468,4.85,3.32,146%,1.54,46%,2.36,1.54,-0.69,,,
4636,12.06,8.25,146%,3.82,46%,14.56,3.82,0.13,,,
4059,5.86,4.01,146%,1.85,46%,3.42,1.85,-0.58,,,
4507,3.65,2.50,146%,1.15,46%,1.33,1.15,-0.83,,,
3879,3.74,2.56,146%,1.18,46%,1.39,1.18,-0.82,,,
9649,15.72,10.78,146%,4.95,46%,24.47,4.95,0.55,,,
3014,3.45,2.37,146%,1.09,46%,1.18,1.09,-0.85,,,
8300,36.37,24.94,146%,11.43,46%,130.73,11.43,2.91,,,
8798,11.67,8.02,146%,3.66,46%,13.38,3.66,0.09,,,
10812,2.82,1.94,146%,0.88,46%,0.78,0.88,-0.92,,,
92,5.59,3.84,145%,1.75,45%,3.06,1.75,-0.61,,,
6593,1.96,1.35,145%,0.61,45%,0.37,0.61,-1.02,,,
5218,29.82,20.50,145%,9.31,45%,86.75,9.31,2.17,,,
12509,16.85,11.60,145%,5.26,45%,27.63,5.26,0.69,,,
919,3.25,2.23,145%,1.01,45%,1.02,1.01,-0.87,,,
2134,4.10,2.83,145%,1.28,45%,1.64,1.28,-0.78,,,
3102,6.16,4.24,145%,1.92,45%,3.67,1.92,-0.54,,,
5857,8.68,5.98,145%,2.70,45%,7.30,2.70,-0.25,,,
3142,6.48,4.47,145%,2.01,45%,4.04,2.01,-0.50,,,
866,6.71,4.63,145%,2.08,45%,4.31,2.08,-0.47,,,
11152,10.80,7.46,145%,3.34,45%,11.15,3.34,0.00,,,
13126,3.47,2.40,145%,1.07,45%,1.15,1.07,-0.85,,,
10619,5.65,3.91,145%,1.74,45%,3.03,1.74,-0.59,,,
6377,2.71,1.87,145%,0.83,45%,0.69,0.83,-0.93,,,
2844,3.04,2.10,144%,0.93,44%,0.87,0.93,-0.90,,,
1655,2.65,1.84,144%,0.81,44%,0.66,0.81,-0.94,,,
1620,8.18,5.68,144%,2.50,44%,6.25,2.50,-0.30,,,
6467,2.74,1.91,144%,0.83,44%,0.70,0.83,-0.93,,,
10646,13.37,9.30,144%,4.07,44%,16.59,4.07,0.30,,,
5793,17.14,11.93,144%,5.21,44%,27.16,5.21,0.74,,,
10876,3.30,2.30,144%,1.00,44%,1.01,1.00,-0.86,,,
2047,20.52,14.29,144%,6.23,44%,38.80,6.23,1.14,,,
5477,8.06,5.62,143%,2.44,43%,5.97,2.44,-0.31,,,
11835,5.98,4.17,143%,1.81,43%,3.28,1.81,-0.55,,,
12440,14.79,10.32,143%,4.47,43%,20.00,4.47,0.47,,,
11901,13.04,9.10,143%,3.94,43%,15.55,3.94,0.27,,,
2451,2.31,1.61,143%,0.70,43%,0.48,0.70,-0.98,,,
3866,2.49,1.74,143%,0.75,43%,0.56,0.75,-0.96,,,
12919,2.63,1.84,143%,0.79,43%,0.63,0.79,-0.94,,,
8939,6.43,4.50,143%,1.93,43%,3.74,1.93,-0.50,,,
12006,17.74,12.42,143%,5.32,43%,28.27,5.32,0.83,,,
4165,4.41,3.09,143%,1.32,43%,1.74,1.32,-0.73,,,
1545,5.77,4.04,143%,1.72,43%,2.98,1.72,-0.57,,,
8314,3.19,2.23,143%,0.95,43%,0.91,0.95,-0.87,,,
9164,6.98,4.90,143%,2.08,43%,4.34,2.08,-0.43,,,
1509,3.98,2.79,143%,1.19,43%,1.41,1.19,-0.78,,,
11910,4.02,2.83,142%,1.20,42%,1.43,1.20,-0.78,,,
10308,13.33,9.36,142%,3.97,42%,15.74,3.97,0.32,,,
8481,1.64,1.15,142%,0.49,42%,0.24,0.49,-1.05,,,
8755,12.06,8.48,142%,3.59,42%,12.86,3.59,0.17,,,
2146,3.60,2.53,142%,1.07,42%,1.14,1.07,-0.82,,,
12693,2.94,2.07,142%,0.87,42%,0.76,0.87,-0.90,,,
6016,3.22,2.27,142%,0.96,42%,0.92,0.96,-0.87,,,
7834,2.99,2.10,142%,0.89,42%,0.79,0.89,-0.90,,,
6138,6.77,4.76,142%,2.00,42%,4.00,2.00,-0.45,,,
1228,6.20,4.37,142%,1.83,42%,3.36,1.83,-0.52,,,
9302,8.72,6.14,142%,2.58,42%,6.65,2.58,-0.22,,,
12597,5.69,4.01,142%,1.68,42%,2.82,1.68,-0.58,,,
12957,14.87,10.48,142%,4.39,42%,19.25,4.39,0.50,,,
9296,5.68,4.01,142%,1.67,42%,2.79,1.67,-0.58,,,
12993,2.28,1.61,142%,0.67,42%,0.45,0.67,-0.98,,,
316,2.46,1.74,142%,0.72,42%,0.52,0.72,-0.96,,,
9328,11.02,7.79,142%,3.23,42%,10.45,3.23,0.05,,,
7614,3.95,2.79,141%,1.16,41%,1.34,1.16,-0.78,,,
6973,1.72,1.22,141%,0.50,41%,0.25,0.50,-1.04,,,
10465,2.42,1.71,141%,0.71,41%,0.50,0.71,-0.96,,,
10748,3.11,2.20,141%,0.91,41%,0.83,0.91,-0.88,,,
12955,2.28,1.61,141%,0.67,41%,0.44,0.67,-0.98,,,
234,5.57,3.94,141%,1.62,41%,2.63,1.62,-0.59,,,
2588,2.87,2.04,141%,0.84,41%,0.70,0.84,-0.91,,,
2989,4.22,2.99,141%,1.23,41%,1.51,1.23,-0.75,,,
6220,4.40,3.12,141%,1.28,41%,1.64,1.28,-0.73,,,
4854,11.85,8.41,141%,3.44,41%,11.85,3.44,0.16,,,
2470,11.68,8.31,141%,3.37,41%,11.37,3.37,0.14,,,
11404,15.51,11.04,140%,4.47,40%,19.98,4.47,0.60,,,
12044,6.60,4.70,140%,1.90,40%,3.60,1.90,-0.46,,,
6672,3.55,2.53,140%,1.02,40%,1.04,1.02,-0.82,,,
2948,37.65,26.88,140%,10.78,40%,116.19,10.78,3.24,,,
11648,3.54,2.53,140%,1.01,40%,1.02,1.01,-0.82,,,
217,3.77,2.69,140%,1.07,40%,1.15,1.07,-0.80,,,
11375,12.22,8.74,140%,3.48,40%,12.13,3.48,0.21,,,
6643,6.89,4.93,140%,1.96,40%,3.84,1.96,-0.42,,,
4329,12.67,9.07,140%,3.60,40%,12.97,3.60,0.27,,,
8244,11.09,7.95,140%,3.14,40%,9.87,3.14,0.08,,,
10051,3.44,2.46,139%,0.97,39%,0.95,0.97,-0.84,,,
3213,11.76,8.44,139%,3.32,39%,11.02,3.32,0.16,,,
2811,5.17,3.71,139%,1.45,39%,2.11,1.45,-0.63,,,
8174,3.88,2.79,139%,1.09,39%,1.19,1.09,-0.78,,,
2525,5.53,3.98,139%,1.55,39%,2.41,1.55,-0.58,,,
10175,3.15,2.27,139%,0.88,39%,0.78,0.88,-0.87,,,
11277,5.15,3.71,139%,1.44,39%,2.08,1.44,-0.63,,,
11095,5.29,3.81,139%,1.48,39%,2.18,1.48,-0.61,,,
4710,3.51,2.53,139%,0.98,39%,0.95,0.98,-0.82,,,
3656,4.69,3.38,139%,1.31,39%,1.71,1.31,-0.68,,,
370,4.19,3.02,139%,1.16,39%,1.36,1.16,-0.74,,,
3177,4.46,3.22,138%,1.24,38%,1.54,1.24,-0.71,,,
10055,2.18,1.58,138%,0.61,38%,0.37,0.61,-0.98,,,
11792,6.51,4.70,138%,1.81,38%,3.27,1.81,-0.46,,,
10682,4.73,3.42,138%,1.31,38%,1.72,1.31,-0.68,,,
3669,9.55,6.90,138%,2.65,38%,7.02,2.65,-0.10,,,
8485,17.50,12.65,138%,4.85,38%,23.51,4.85,0.86,,,
5256,12.22,8.84,138%,3.38,38%,11.45,3.38,0.23,,,
7040,1.95,1.41,138%,0.54,38%,0.29,0.54,-1.01,,,
10407,5.77,4.17,138%,1.60,38%,2.55,1.60,-0.55,,,
12401,7.86,5.68,138%,2.17,38%,4.71,2.17,-0.30,,,
884,3.95,2.86,138%,1.09,38%,1.19,1.09,-0.77,,,
7472,2.54,1.84,138%,0.70,38%,0.48,0.70,-0.94,,,
6065,3.12,2.27,138%,0.86,38%,0.73,0.86,-0.87,,,
2582,3.57,2.60,138%,0.97,38%,0.95,0.97,-0.81,,,
4611,4.65,3.38,138%,1.27,38%,1.61,1.27,-0.68,,,
9047,5.01,3.65,137%,1.36,37%,1.86,1.36,-0.64,,,
953,10.28,7.49,137%,2.79,37%,7.79,2.79,0.00,,,
9846,6.44,4.70,137%,1.74,37%,3.04,1.74,-0.46,,,
7663,19.45,14.19,137%,5.26,37%,27.65,5.26,1.12,,,
8234,6.75,4.93,137%,1.83,37%,3.33,1.83,-0.42,,,
12481,3.74,2.73,137%,1.01,37%,1.02,1.01,-0.79,,,
12321,12.55,9.17,137%,3.38,37%,11.45,3.38,0.28,,,
12184,12.28,8.97,137%,3.31,37%,10.95,3.31,0.25,,,
11865,3.78,2.76,137%,1.02,37%,1.04,1.02,-0.79,,,
5343,4.76,3.48,137%,1.28,37%,1.64,1.28,-0.67,,,
6443,15.36,11.24,137%,4.13,37%,17.03,4.13,0.63,,,
12493,10.05,7.36,137%,2.69,37%,7.24,2.69,-0.02,,,
1292,5.74,4.21,136%,1.53,36%,2.36,1.53,-0.54,,,
4175,6.32,4.63,136%,1.69,36%,2.86,1.69,-0.47,,,
11434,4.74,3.48,136%,1.26,36%,1.59,1.26,-0.67,,,
5515,9.17,6.74,136%,2.44,36%,5.95,2.44,-0.12,,,
2459,20.67,15.18,136%,5.49,36%,30.19,5.49,1.29,,,
12907,4.52,3.32,136%,1.20,36%,1.44,1.20,-0.69,,,
1189,3.75,2.76,136%,0.99,36%,0.99,0.99,-0.79,,,
8696,15.06,11.07,136%,3.98,36%,15.87,3.98,0.60,,,
10869,15.03,11.07,136%,3.96,36%,15.65,3.96,0.60,,,
7195,5.53,4.07,136%,1.45,36%,2.11,1.45,-0.57,,,
4316,8.24,6.08,136%,2.16,36%,4.68,2.16,-0.23,,,
4160,4.76,3.52,135%,1.25,35%,1.55,1.25,-0.66,,,
10228,10.68,7.89,135%,2.79,35%,7.81,2.79,0.07,,,
